Filename,ImageRef,Caption,Tags,License type,Username,Super Tags,Location,Date taken,Number of People,Model release,Is there property in this image?,Property release,Primary category,Secondary category,Image Type,Exclusive to Alamy,Additional Info,Status
"dsc_200405bst.jpg","P74FAB","Towers of Chur West in Graubünden, Switzerland","Schweiz,Graubuenden,Chur,Spring,City,West,Towers,Graubünden,Plänkis,Twin,Grisons,Swiss,Switzerland,Town,Urban,New,Modern,Monochrome,Paired,Square,Cubist,Simple,Office,Buildings,Industrial,Business,Centre","RF","Elliott Bignell","","Chur West, Schönbühlstrasse, Chur, Switzerland","15/03/2017","0","NA","N","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"dsc_200405.jpg","P74FAA","Towers of Chur West in Graubünden, Switzerland","Schweiz,Graubuenden,Chur,Spring,City,West,Towers,Graubünden,Plänkis,Twin,Grisons,Swiss,Switzerland,Town,Urban,New,Modern,Monochrome,Paired,Square,Cubist,Simple,Office,Buildings,Industrial,Business,Centre","RF","Elliott Bignell","","Chur West, Schönbühlstrasse, Chur, Switzerland","15/03/2017","0","NA","N","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"dsc_200396-dsc_200404.jpg","P74FA9","Towers of Chur West in Graubünden, Switzerland","Schweiz,Chur,Graubünden,Towers,Plänkis,Graubuenden,West,City,Spring,Twin,Grisons,Swiss,Switzerland,Town,Urban,New,Modern,Monochrome,Paired,Square,Cubist,Simple,Office,Buildings,Industrial,Business,Centre","RF","Elliott Bignell","","Chur West, Schönbühlstrasse, Chur, Switzerland","15/03/2017","0","NA","N","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"dsc_200294-dsc_200314.jpg","P74FA3","Towers of Chur West in Graubünden, Switzerland","Schweiz,Graubuenden,Chur,City,West,Towers,Graubünden,Plänkis,Spring,Twin,Grisons,Swiss,Switzerland,Town,Urban,New,Modern,Monochrome,Paired,Square,Cubist,Simple,Office,Buildings,Industrial,Business,Centre","RF","Elliott Bignell","","Chur West, Schönbühlstrasse, Chur, Switzerland","15/03/2017","0","NA","N","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"dsc_200282-dsc_200293.jpg","P74FA2","Towers of Chur West in Graubünden, Switzerland","Schweiz,Graubuenden,Chur,Towers,City,West,Graubünden,Plänkis,Spring,Twin,Grisons,Swiss,Switzerland,Town,Urban,New,Modern,Monochrome,Paired,Square,Cubist,Simple,Office,Buildings,Industrial,Business,Centre","RF","Elliott Bignell","","Chur West, Schönbühlstrasse, Chur, Switzerland","15/03/2017","0","NA","N","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"dsc_200270-dsc_200281.jpg","P74FA1","Towers of Chur West in Graubünden, Switzerland","Schweiz,Graubuenden,Chur,Towers,City,West,Graubünden,Plänkis,Spring,Twin,Grisons,Swiss,Switzerland,Town,Urban,New,Modern,Monochrome,Paired,Square,Cubist,Simple,Office,Buildings,Industrial,Business,Centre","RF","Elliott Bignell","","Chur West, Schönbühlstrasse, Chur, Switzerland","15/03/2017","0","NA","N","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"dsc_200240-dsc_200245.jpg","P74F9W","Towers of Chur West in Graubünden, Switzerland","Schweiz,Chur,Graubünden,Towers,Plänkis,Graubuenden,West,City,Spring,Twin,Grisons,Swiss,Switzerland,Town,Urban,New,Modern,Monochrome,Paired,Square,Cubist,Simple,Office,Buildings,Industrial,Business,Centre","RF","Elliott Bignell","","Chur West, Schönbühlstrasse, Chur, Switzerland","15/03/2017","0","NA","N","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"dsc_200252-dsc_200269.jpg","P74FA0","Towers of Chur West in Graubünden, Switzerland","Schweiz,Graubuenden,Chur,Towers,City,West,Graubünden,Plänkis,Spring,Twin,Grisons,Swiss,Switzerland,Town,Urban,New,Modern,Monochrome,Paired,Square,Cubist,Simple,Office,Buildings,Industrial,Business,Centre","RF","Elliott Bignell","","Chur West, Schönbühlstrasse, Chur, Switzerland","15/03/2017","0","NA","N","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"dsc_200219-dsc_200230.jpg","P74F9R","Reflective face of the TEM building in Chur Plankis, Graubünden","Schweiz,Chur,Graubünden,Reflections,Graubuenden,Spring,TEM,Reflection,Towers,Plänkis,West,City,Switzerland,Swiss,Office,Reflective,Mirrored,Building,Modern,Architecture,Shiny,Town,Urban","RF","Elliott Bignell","","Chur, Plankis, Chur, Switzerland","15/03/2017","0","NA","N","NA","Architecture and interiors","Technology","Photograph","N","","On sale"
"dsc_200249.jpg","P74F9Y","Towers of Chur West in Graubünden, Switzerland","Schweiz,Graubuenden,Chur,West,Towers,Twin,Graubünden,Plänkis,City,Spring,Grisons,Swiss,Switzerland,Town,Urban,New,Modern,Monochrome,Paired,Square,Cubist,Simple,Office,Buildings,Industrial,Business,Centre","RF","Elliott Bignell","","Chur West, Schönbühlstrasse, Chur, Switzerland","15/03/2017","0","NA","N","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"dsc_200025-dsc_200060.jpg","P74F9A","Glass- and steel-covered space of the bus station in Chur, Graubünden","Schweiz,Graubünden,Chur,Busbahnhof,Switzerland,Swiss,Bus,Station,Roof,Skeleton,Girders,Frame,Scaffold,Sky,Open,Mountains,Alps,Town,Urban,Buses,Shadows,Geometry,Architecture,Glass,Covered,Light,Bright,Blue","RF","Elliott Bignell","","Chur","10/03/2017","0","NA","N","NA","Architecture and interiors","Transport","Photograph","N","","On sale"
"dsc_200246.jpg","P74F9X","Towers of Chur West in Graubünden, Switzerland","Schweiz,Graubuenden,Chur,West,Towers,Twin,Graubünden,Plänkis,City,Spring,Grisons,Swiss,Switzerland,Town,Urban,New,Modern,Monochrome,Paired,Square,Cubist,Simple,Office,Buildings,Industrial,Business,Centre","RF","Elliott Bignell","","Chur West, Schönbühlstrasse, Chur, Switzerland","15/03/2017","0","NA","N","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"dsc_200231-dsc_200239.jpg","P74F9T","Towers of Chur West in Graubünden, Switzerland","Schweiz,Chur,Graubünden,Towers,Plänkis,Graubuenden,West,City,Spring,Twin,Grisons,Swiss,Switzerland,Town,Urban,New,Modern,Monochrome,Paired,Square,Cubist,Simple,Office,Buildings,Industrial,Business,Centre","RF","Elliott Bignell","","Chur West, Schönbühlstrasse, Chur, Switzerland","15/03/2017","0","NA","N","NA","Architecture and interiors","Travel","Photograph","N","","On sale"
"dsc_200142-dsc_200150.jpg","P74F9E","Reflective face of the TEM building in Chur Plankis, Graubünden","Schweiz,Chur,Graubünden,Towers,Plänkis,Graubuenden,Spring,TEM,Reflection,West,Reflections,City,Switzerland,Swiss,Office,Reflective,Mirrored,Building,Modern,Architecture,Shiny,Town,Urban","RF","Elliott Bignell","","Chur, Plankis, Chur, Switzerland","15/03/2017","0","NA","N","NA","Architecture and interiors","Technology","Photograph","N","","On sale"
"dsc_200199-dsc_200204.jpg","P74F9P","Reflective face of the TEM building in Chur Plankis, Graubünden","Schweiz,Chur,Graubünden,Reflections,Graubuenden,Spring,TEM,Reflection,Towers,Plänkis,West,City,Switzerland,Swiss,Office,Reflective,Mirrored,Building,Modern,Architecture,Shiny,Town,Urban","RF","Elliott Bignell","","Chur, Plankis, Chur, Switzerland","15/03/2017","0","NA","N","NA","Architecture and interiors","Technology","Photograph","N","","On sale"
"dsc_200166-dsc_200174.jpg","P74F9K","Reflective face of the TEM building in Chur Plankis, Graubünden","Schweiz,Graubuenden,Chur,Towers,City,West,Spring,TEM,Reflection,Plänkis,Reflections,Graubünden,Switzerland,Swiss,Office,Reflective,Mirrored,Building,Modern,Architecture,Shiny,Town,Urban","RF","Elliott Bignell","","Chur, Plankis, Chur, Switzerland","15/03/2017","0","NA","N","NA","Architecture and interiors","Technology","Photograph","N","","On sale"
"dsc_200184-dsc_200198.jpg","P74F9N","Reflective face of the TEM building in Chur Plankis, Graubünden","Schweiz,Graubuenden,Chur,Spring,TEM,Reflection,Towers,Plänkis,West,Reflections,City,Graubünden,Switzerland,Swiss,Office,Reflective,Mirrored,Building,Modern,Architecture,Shiny,Town,Urban","RF","Elliott Bignell","","Chur, Plankis, Chur, Switzerland","15/03/2017","0","NA","N","NA","Architecture and interiors","Technology","Photograph","N","","On sale"
