Filename,ImageRef,Caption,Tags,License type,Username,Super Tags,Location,Date taken,Number of People,Model release,Is there property in this image?,Property release,Primary category,Secondary category,Image Type,Exclusive to Alamy,Additional Info,Status
"dsd_023687.jpg","2BKK99P","Mountain pansies, Viola cenisia (tentative), on scree above Malbun, Liechtenstein","alpine,alps,alvier,beautiful,beauty,blooming,blossom,cenisia,closeup,colour,falknis,flora,flower,hardy,high,liechtenstein,loose,malbun,mauve,mountains,native,natural,nature,outdoor,pansy,plant,purple,rocks,scree,season,stones,summer,switzerland,tough,vegetation,viola,violet,walking,wild,wildflower","RF","Elliott Bignell","","Malbun, Liechtenstein","","0","NA","N","NA","Plants and gardens","Landscapes","Photograph","N","","On sale"
"dsd_023519.jpg","2BKK993","Plaque commemorating Princess Gina of Liechtenstein, 1988.","alpine,alps,belief,bronze,commemoration,deceased,europe,faith,hiking,history,in memoriam,inscription,liechtenstein,malbun,memorial,mountains,outdoor,plaque,princess,ruler,sign,sky,summer,symbol,text,timber,travel,view,walking","RF","Elliott Bignell","","Malbun, Liechtenstein","","0","NA","N","NA","Celebrations and life events","Objects and still life","Photograph","N","","On sale"
"dsd_024686-dsd_024742.jpg","2BKK8D8","Three Sisters (Eiger, Mönch and Jungfrau) and artificial lake, Swiss Alps","alpine,alps,background,contrast,eiger,europe,grindelwald,ice,jungfrau,lake,mountains,mönch,nature,peaks,pool,reflection,reflection in water,ripples,rock,sisters,snow,texture,three,outdoor,overcast,cloudy,walking,hiking,reservoir","RF","Elliott Bignell","","Grindelwald, Switzerland","11/01/2007","0","NA","N","NA","Landscapes","Weather and seasons","Photograph","N","","On sale"
"dsd_024608-dsd_024631.jpg","2BKK8CR","Three Sisters; view of Eiger, Jungfrau and Mönch in Grindelwald, Switzerland","alpine,alps,background,beautiful,bern,bernese,contrast,eiger,europe,grindelwald,hiking,ice,jungfrau,lake,landscape,lauterbrunnen,meadow,mountain,mountains,mönch,nature,outdoor,pasture,peak,peaks,rock,scenic,sisters,sky,snow,summer,switzerland,texture,three,tourism,travel,view","RF","Elliott Bignell","","Grindelwald, Switzerland","11/01/2007","0","NA","N","NA","Landscapes","Weather and seasons","Photograph","N","","On sale"
"dsd_024632-dsd_024655.jpg","2BKK8CY","Three Sisters; view of Eiger, Jungfrau and Mönch in Grindelwald, Switzerland","alpine,alps,background,beautiful,bern,bernese,contrast,eiger,europe,grindelwald,hiking,ice,jungfrau,lake,landscape,lauterbrunnen,meadow,mountain,mountains,mönch,nature,outdoor,pasture,peak,peaks,rock,scenic,sisters,sky,snow,summer,switzerland,texture,three,tourism,travel,view","RF","Elliott Bignell","","Grindelwald, Switzerland","11/01/2007","0","NA","N","NA","Landscapes","Weather and seasons","Photograph","N","","On sale"
